file_name,class
t_000,갈취 대화
t_001,직장 내 괴롭힘 대화
t_002,직장 내 괴롭힘 대화
t_003,기타 괴롭힘 대화
t_004,기타 괴롭힘 대화
t_005,협박 대화
t_006,협박 대화
t_007,기타 괴롭힘 대화
t_008,직장 내 괴롭힘 대화
t_009,갈취 대화
t_010,협박 대화
t_011,기타 괴롭힘 대화
t_012,직장 내 괴롭힘 대화
t_013,직장 내 괴롭힘 대화
t_014,직장 내 괴롭힘 대화
t_015,협박 대화
t_016,협박 대화
t_017,기타 괴롭힘 대화
t_018,협박 대화
t_019,기타 괴롭힘 대화
t_020,협박 대화
t_021,기타 괴롭힘 대화
t_022,기타 괴롭힘 대화
t_023,갈취 대화
t_024,갈취 대화
t_025,직장 내 괴롭힘 대화
t_026,갈취 대화
t_027,기타 괴롭힘 대화
t_028,직장 내 괴롭힘 대화
t_029,갈취 대화
t_030,갈취 대화
t_031,협박 대화
t_032,기타 괴롭힘 대화
t_033,직장 내 괴롭힘 대화
t_034,협박 대화
t_035,기타 괴롭힘 대화
t_036,기타 괴롭힘 대화
t_037,갈취 대화
t_038,협박 대화
t_039,갈취 대화
t_040,기타 괴롭힘 대화
t_041,갈취 대화
t_042,갈취 대화
t_043,갈취 대화
t_044,기타 괴롭힘 대화
t_045,직장 내 괴롭힘 대화
t_046,협박 대화
t_047,기타 괴롭힘 대화
t_048,기타 괴롭힘 대화
t_049,협박 대화
t_050,갈취 대화
t_051,기타 괴롭힘 대화
t_052,갈취 대화
t_053,직장 내 괴롭힘 대화
t_054,직장 내 괴롭힘 대화
t_055,기타 괴롭힘 대화
t_056,기타 괴롭힘 대화
t_057,기타 괴롭힘 대화
t_058,기타 괴롭힘 대화
t_059,기타 괴롭힘 대화
t_060,갈취 대화
t_061,협박 대화
t_062,협박 대화
t_063,기타 괴롭힘 대화
t_064,직장 내 괴롭힘 대화
t_065,협박 대화
t_066,기타 괴롭힘 대화
t_067,기타 괴롭힘 대화
t_068,협박 대화
t_069,갈취 대화
t_070,기타 괴롭힘 대화
t_071,직장 내 괴롭힘 대화
t_072,기타 괴롭힘 대화
t_073,직장 내 괴롭힘 대화
t_074,협박 대화
t_075,직장 내 괴롭힘 대화
t_076,직장 내 괴롭힘 대화
t_077,기타 괴롭힘 대화
t_078,직장 내 괴롭힘 대화
t_079,기타 괴롭힘 대화
t_080,갈취 대화
t_081,협박 대화
t_082,협박 대화
t_083,협박 대화
t_084,기타 괴롭힘 대화
t_085,직장 내 괴롭힘 대화
t_086,갈취 대화
t_087,기타 괴롭힘 대화
t_088,갈취 대화
t_089,직장 내 괴롭힘 대화
t_090,협박 대화
t_091,직장 내 괴롭힘 대화
t_092,협박 대화
t_093,기타 괴롭힘 대화
t_094,기타 괴롭힘 대화
t_095,직장 내 괴롭힘 대화
t_096,갈취 대화
t_097,기타 괴롭힘 대화
t_098,협박 대화
t_099,협박 대화
t_100,갈취 대화
t_101,갈취 대화
t_102,기타 괴롭힘 대화
t_103,협박 대화
t_104,기타 괴롭힘 대화
t_105,직장 내 괴롭힘 대화
t_106,직장 내 괴롭힘 대화
t_107,기타 괴롭힘 대화
t_108,기타 괴롭힘 대화
t_109,협박 대화
t_110,갈취 대화
t_111,협박 대화
t_112,협박 대화
t_113,직장 내 괴롭힘 대화
t_114,갈취 대화
t_115,갈취 대화
t_116,기타 괴롭힘 대화
t_117,직장 내 괴롭힘 대화
t_118,직장 내 괴롭힘 대화
t_119,갈취 대화
t_120,직장 내 괴롭힘 대화
t_121,갈취 대화
t_122,갈취 대화
t_123,갈취 대화
t_124,갈취 대화
t_125,갈취 대화
t_126,직장 내 괴롭힘 대화
t_127,갈취 대화
t_128,갈취 대화
t_129,기타 괴롭힘 대화
t_130,기타 괴롭힘 대화
t_131,기타 괴롭힘 대화
t_132,직장 내 괴롭힘 대화
t_133,기타 괴롭힘 대화
t_134,갈취 대화
t_135,협박 대화
t_136,기타 괴롭힘 대화
t_137,협박 대화
t_138,기타 괴롭힘 대화
t_139,기타 괴롭힘 대화
t_140,기타 괴롭힘 대화
t_141,기타 괴롭힘 대화
t_142,갈취 대화
t_143,기타 괴롭힘 대화
t_144,직장 내 괴롭힘 대화
t_145,협박 대화
t_146,협박 대화
t_147,협박 대화
t_148,기타 괴롭힘 대화
t_149,갈취 대화
t_150,협박 대화
t_151,기타 괴롭힘 대화
t_152,협박 대화
t_153,갈취 대화
t_154,직장 내 괴롭힘 대화
t_155,기타 괴롭힘 대화
t_156,협박 대화
t_157,직장 내 괴롭힘 대화
t_158,기타 괴롭힘 대화
t_159,기타 괴롭힘 대화
t_160,협박 대화
t_161,기타 괴롭힘 대화
t_162,직장 내 괴롭힘 대화
t_163,협박 대화
t_164,기타 괴롭힘 대화
t_165,기타 괴롭힘 대화
t_166,직장 내 괴롭힘 대화
t_167,기타 괴롭힘 대화
t_168,기타 괴롭힘 대화
t_169,갈취 대화
t_170,협박 대화
t_171,직장 내 괴롭힘 대화
t_172,직장 내 괴롭힘 대화
t_173,기타 괴롭힘 대화
t_174,기타 괴롭힘 대화
t_175,기타 괴롭힘 대화
t_176,협박 대화
t_177,직장 내 괴롭힘 대화
t_178,갈취 대화
t_179,기타 괴롭힘 대화
t_180,직장 내 괴롭힘 대화
t_181,기타 괴롭힘 대화
t_182,직장 내 괴롭힘 대화
t_183,직장 내 괴롭힘 대화
t_184,협박 대화
t_185,기타 괴롭힘 대화
t_186,기타 괴롭힘 대화
t_187,협박 대화
t_188,갈취 대화
t_189,협박 대화
t_190,협박 대화
t_191,기타 괴롭힘 대화
t_192,갈취 대화
t_193,기타 괴롭힘 대화
t_194,갈취 대화
t_195,기타 괴롭힘 대화
t_196,협박 대화
t_197,갈취 대화
t_198,기타 괴롭힘 대화
t_199,기타 괴롭힘 대화
t_200,직장 내 괴롭힘 대화
t_201,협박 대화
t_202,기타 괴롭힘 대화
t_203,직장 내 괴롭힘 대화
t_204,협박 대화
